x,y,z
1.0,0.0,-0.041052613
0.0,0.0,-0.04105269
0.505,0.0,1.0
0.495,0.0,1.0
0.5065,0.0,0.9243461
0.508,0.0,0.8647253
0.5095,0.0,0.8147097
0.511,0.0,0.7718634
0.5125,0.0,0.73435557
0.514,0.0,0.70099616
0.5155,0.0,0.670925
0.517,0.0,0.643535
0.5185,0.0,0.61837626
0.52,0.0,0.5951046
0.5215,0.0,0.57345086
0.523,0.0,0.55320036
0.5245,0.0,0.53417915
0.526,0.0,0.5162444
0.5275,0.0,0.4992772
0.529,0.0,0.48317754
0.5305,0.0,0.4678606
0.532,0.0,0.45325372
0.5335,0.0,0.43929416
0.535,0.0,0.4259274
0.5365,0.0,0.4131058
0.538,0.0,0.40078738
0.5395,0.0,0.3889351
0.541,0.0,0.3775159
0.5425,0.0,0.36650044
0.544,0.0,0.35586223
0.5455,0.0,0.3455775
0.547,0.0,0.33562478
0.5485,0.0,0.32598463
0.55,0.0,0.3166393
0.5515,0.0,0.3075726
0.553,0.0,0.2987698
0.5545,0.0,0.29021728
0.556,0.0,0.2819026
0.5575,0.0,0.27381423
0.559,0.0,0.26594156
0.5605,0.0,0.2582747
0.562,0.0,0.25080457
0.5635,0.0,0.24352267
0.565,0.0,0.23642108
0.5665,0.0,0.22949243
0.568,0.0,0.22272979
0.5695,0.0,0.21612674
0.571,0.0,0.20967722
0.5725,0.0,0.20337555
0.574,0.0,0.19721636
0.5755,0.0,0.19119465
0.577,0.0,0.18530567
0.5785,0.0,0.17954493
0.58,0.0,0.1739082
0.5815,0.0,0.1683915
0.583,0.0,0.16299099
0.5845,0.0,0.1577031
0.586,0.0,0.15252443
0.5875,0.0,0.14745171
0.589,0.0,0.14248186
0.5905,0.0,0.13761194
0.592,0.0,0.13283916
0.5935,0.0,0.12816083
0.595,0.0,0.12357442
0.5965,0.0,0.11907748
0.598,0.0,0.114667684
0.5995,0.0,0.11034281
0.601,0.0,0.10610071
0.6025,0.0,0.101939335
0.604,0.0,0.09785674
0.6055,0.0,0.09385103
0.607,0.0,0.0899204
0.6085,0.0,0.0860631
0.61,0.0,0.08227748
0.6115,0.0,0.07856191
0.613,0.0,0.07491485
0.6145,0.0,0.07133481
0.616,0.0,0.06782035
0.6175,0.0,0.06437007
0.619,0.0,0.06098265
0.6205,0.0,0.05765678
0.622,0.0,0.054391216
0.6235,0.0,0.051184755
0.625,0.0,0.04803622
0.6265,0.0,0.044944488
0.628,0.0,0.041908458
0.6295,0.0,0.03892708
0.631,0.0,0.035999313
0.6325,0.0,0.03312417
0.634,0.0,0.030300682
0.6355,0.0,0.027527915
0.637,0.0,0.024804957
0.6385,0.0,0.022130925
0.64,0.0,0.01950496
0.6415,0.0,0.016926229
0.643,0.0,0.014393918
0.6445,0.0,0.011907241
0.646,0.0,0.00946543
0.6475,0.0,0.0070677362
0.649,0.0,0.0047134324
0.6505,0.0,0.0024018104
0.652,0.0,0.00013217841
0.6535,0.0,-0.0020961366
0.655,0.0,-0.004283791
0.6565,0.0,-0.006431426
0.658,0.0,-0.0085396655
0.6595,0.0,-0.010609121
0.661,0.0,-0.012640388
0.6625,0.0,-0.014634047
0.664,0.0,-0.016590668
0.6655,0.0,-0.018510805
0.667,0.0,-0.020395003
0.6685,0.0,-0.022243792
0.67,0.0,-0.024057692
0.6715,0.0,-0.025837211
